Tool,UTID,SO_FID,Customer ,tool_status,Open_Date,Ship_Date,Comment,Handler,K_MAT,WO1,Tester_Type,WO2,BBSE,WO3,WLR_FD,WO4,OPTION_LDSR,WO5,UVR_eUVR,WO6,AiD_SSiD,WO7,Compensator,WO8,MSWAVECAL,WO9,NLR_Ceramic_Chuck,WO10,Others,IS_SHIPPED
Viking F1,7273266,124881,SAMSUNG P2L,KLA,26-Jun,19-Jul,,,,,Tester 0614033-000,1083443,"0629129-000 
XMSE Cascaded",1083444,"0638704-000
KIT,INTEGRATION,LDSR",1083445,"0575683-000
OPTION,LDSR",,"0607019-000 
OPTION,SWE-EP",1083446,"0638710-000
SSiD",1083447,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1083448,"0614958-000 OPTION,MSWAVECAL",1083451,"0623771-000
OPTION,FOG,F1",1083449,"0679597-000
OPTION,N2 LOCAL PURGE,SWE-EP",0
Aleris 8370,7273204,127466,SAMSUNG P3F,KLA,26-Jun,19-Jul,,,,,Tester 0221128-000,1083452,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1083454,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1083455,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1083456,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1083457,,,,0
Aleris 8500,7273248,120049,TSMC FAB 16,KLA,26-Jun,14-Jul,,,,,Tester 0221129-000,1083466,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1083469,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1083471,,,,,0567632-000 AID,1083472,"0372205-001 
KIT,SWE,ALERIS,ROW",1083473,,,,,,0
Aleris 8350,7273196,120086,INTEL IRELAND LTD FAB 24,KLA,27-Jun,17-Jul,,,,,Tester 0221128-000,1083563,"0603648-000
FEATURE,BBSE,193/DUV,ALERIS 8350,ROW",1083569,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1083559,,,0567632-000 AID,1083560,"0372205-001
KIT,SWE,ALERIS,ROW",1083562,,,,,,,,0
Aleris 8500,7273084,0,HUA HONG SEMICONDUCTOR (WUXI),KLA,27-Jun,19-Jul,,,,,Tester 0221129-000,1083515,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1083520,"0100231-001 
FEATURE,WLR,ALERIS",1083519,,,0613744-000 ID,1083521,"0372205-001 
KIT,SWE,ALERIS,ROW",1083522,,,,,,,,0
Aleris 8370,7273199,0,SAMSUNG P3F,KLA,27-Jun,18-Jul,,,,,Tester 0221128-000,1083549,"0792813-000 
FEATURE,BBSE,240/UV,ALERIS 8370,ROW",1083561,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1083564,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1083566,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1083567,,,,0
Aleris 9350,7273265,,OPEN,KLA,27-Jun,3-Aug,,,,,"Tester SS12K 
0787175-000",1083585,"0714778-000 
FEATURE,BBSE,SS11K-i",1083589,"0801880-000 
KIT,INTEGRATION,LDSR-XP",1083587,"0790589-000-Optical module, LDSR-XP",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1083588,,,,,,0
Viking SS11K_m,7273272,125828,#N/A,KLA,4-Jul,24-Jul,,,,,"Tester SS11K_M 
0750868-000 ",1083880,"0750855-000 
FEATURE,2.5UM IRSE",1083881,,,0828181-000-Option DNS,1083882,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1083883,,,0647916-000,,,0
Aleris 8510,7273082,119087,GLOBALFOUNDRIES SINGAPORE (FAB 7),KLA,5-Jul,1-Aug,,H000344717,0256442-000,1085069,Tester  0291462-000,1083893,"0256449-000 
FEATURE,BBSE,150/VUV,ALERIS 8510",1083890,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1083892,,,"0100420-000
OPTION 15X UVR ALERIS",1083894,0567632-000 AID,1083895,"0372205-001 
KIT,SWE,ALERIS,ROW",1083896,,,,,,0
Viking F1,7273267,120708,TSMC FAB 18 P6,KLA,5-Jul,19-Jul,,,,,Tester 0614033-000,1083899,"0629129-000 
XMSE Cascaded",1083900,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1083901,,,"0607019-000 
OPTION,SWE-EP",1083902,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1083904,"0614958-000 OPTION,MSWAVECAL",1083905,"0623771-000
OPTION,FOG,F1",1083906,,0
LD10,7273235,119674,STMICROELECTRONICS (CROLLES 2) SAS,KLA,5-Jul,19-Jul,,,,,"TESTER – LD 10
0511938-000",1084123,"IRSE A-B
0598134-000",1084124,"WLR for SF LD 10
0353539-000",1084125,,,"0556087-000
KIT,SWE-2,SHELBY",1084130,"0510619-000
OPTION,SSID/SWE/SHELBY",1084126,"OPTION,940NM LED,WLR/PR
0676544-000",1084131,,,,,,0
F20,7273323,126712,SAMSUNG P3F,KLA,10-Jul,20-Sep,,,,,Tester 0745640-000,1084176,"0837211-000-FEATURE IRSE 2.5UM,HS,F10 ",1084175,"0990091-000
LDSR INTEGRATION",1084178,"0825350-000-OPTION,LDSRHR,F10  ",,"0748073-000
 OPTION,SWE-EP,SS11K",1084179,,,"0804803-000
OPTION,COMPENSATOR,F10",1084180,"0614958-000 OPTION,MSWAVECAL",1084181,"0623771-000 OPTION,FOG,F1",1084182," 0975909-000        KIT,UPGRADE,SE 170,V9,F10",0
Aleris 8500,7273257,118224,SMIC F16,KLA,10-Jul,25-Aug,,,,,Tester 0221129-000,1084186,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1084187,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1084188,,,"0100420-000
OPTION 15X UVR ALERIS",1084189,"0613744-000
KIT MAKE IDESORBER SP ALERIS",1084190,"0372205-001 
KIT,SWE,ALERIS,ROW",1084191,,,,,,0
Viking F1,7273283,122824,CHANGXIN JIDIAN (BEIJING) MEMORY,KLA,11-Jul,30-Aug,,,,,Tester 0614033-000,1084268,"0673967-000 
FEATURE, 2.2UM IRSE,F1",1084269,"0638704-000
KIT,INTEGRATION,LDSR",1084270,"0575683-000
OPTION,LDSR",,"0607019-000 
OPTION,SWE-EP",1084272,"0638710-000
SSiD",1084273,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084274,"0614958-000 OPTION,MSWAVECAL",1084275,"0623771-000
OPTION,FOG,F1",1084276,,0
Viking F1,7273287,122825,CHANGXIN JIDIAN (BEIJING) MEMORY,KLA,11-Jul,28-Aug,,,,,Tester 0614033-000,1084277,"0673967-000 
FEATURE, 2.2UM IRSE,F1",1084278,"0638704-000
KIT,INTEGRATION,LDSR",1084279,"0575683-000
OPTION,LDSR",,"0607019-000 
OPTION,SWE-EP",1084280,"0638710-000
SSiD",1084281,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084282,"0614958-000 OPTION,MSWAVECAL",1084283,"0623771-000
OPTION,FOG,F1",1084284,,0
SF 8660,7273262,119044,GLOBALFOUNDERIES SINGAPORE )FAB 7H(,KLA-Vilar ,12-Jul,1-Aug,,H000344669,0809023-000,1085266,Tester - 0754738-000,1084285,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1084286,"0100231-001 
FEATURE,WLR,ALERIS",1084287,,,,,,,,,,,,,,0
Aleris 8350,7273192,122488,INTEL SEMICONDUCTOR (DALIAN) LTD.,KLA,12-Jul,26-Jul,,,,,Tester 0221128-000,1084302,"0603648-000
FEATURE,BBSE,193/DUV,ALERIS 8350,ROW",1084303,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1084304,,,"0100420-000 
OPTION,15X UVR,ALERIS",1084305,,,,,,,,,,0
Viking F1,7273269,123121,TSMC FAB 18 P5,KLA,12-Jul,22-Aug,Tester 0614033-000,1084288,"0629129-000 
XMSE Cascaded",1084290,Tester 0614033-000,1084288,"0629129-000 
XMSE Cascaded",1084290,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1084289,,,"0607019-000 
OPTION,SWE-EP",1084294,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084291,"0614958-000 OPTION,MSWAVECAL",1084292,"0623771-000
OPTION,FOG,F1",1084293,,0
Viking F1,7273263,120688,TSMC FAB 18 P1,KLA,12-Jul,3-Oct,,,,,Tester 0614033-000,1084306,"0629129-000 
XMSE Cascaded",1084307,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1084308,,,"0607019-000 
OPTION,SWE-EP",1084309,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084310,"0614958-000 OPTION,MSWAVECAL",1084311,"0623771-000
OPTION,FOG,F1",1084312,,0
Viking SS11K,7273239,124028,SMSC (S2B),KLA,14-Jul,3-Oct,,,,,Tester 0745640-000,1084352,"0714778-000 
FEATURE,BBSE,SS11K-i",1084353,"0712159-000 
LDSR INTEGRATION",1084354,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1084355,,,,,,0
Aleris 8510,7273280,119278,GLOBALFOUNDRIES SINGAPORE (FAB 7H),KLA,16-Jul,24-Aug,,,,,Tester  0291462-000,1084421,"0256449-000 
FEATURE,BBSE,150/VUV,ALERIS 8510",1084422,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1084423,"0100420-000
OPTION 15X UVR ALERIS",1084424,"0372205-001 
KIT,SWE,ALERIS,ROW",1084425,0567632-000 AID,1084426,,,,,,,,0
Viking SS11K_S,7273276,128833,SAMSUNG P3F,KLA,17-Jul,6-Sep,,,,," TESTER,SPECTRASHAPE 11K_S
0842074-000",1084427,"0837027-000 
FEATURE,IRSE2.5,SS11K_S",1084428,"0712159-000 
LDSR INTEGRATION",1084429,"0750201-000 
OPTION,LDSR-HR,SS11K",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1084431,"0814857-000           KIT,UPGRADE,1.2MM CAPABILITY,SS11K",1084883,"  0841808-000        KIT,UPGRADE,PASSIVE ISOLATION,SS11K",1084881,,0
Viking F1,7273284,124886,SAMSUNG P2L,KLA,19-Jul,6-Sep,,,,,Tester 0614033-000,1084500,"0629129-000 
XMSE Cascaded",1084501,"0638704-000
KIT,INTEGRATION,LDSR",1084502,"0575683-000
OPTION,LDSR",,"0607019-000 
OPTION,SWE-EP",1084503,"0638710-000
SSiD",1084504,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084505,"0614958-000 OPTION,MSWAVECAL",1084506,"0623771-000
OPTION,FOG,F1",1084507,"0679597-000
OPTION,N2 LOCAL PURGE,SWE-EP",0
Viking SS11K,7273296,119587,TSMC FAB 18 P1,KLA,20-Jul,28-Aug,,,,,Tester 0745640-000,1084509,"0714778-000 
FEATURE,BBSE,SS11K-i",1084510,"0712159-000 
LDSR INTEGRATION",1084511,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1084512,,,,,,0
Viking F1,7273243,120685,TSMC FAB 18 P1,KLA,20-Jul,28-Aug,,,,,Tester 0614033-000,1084533,"0629129-000 
XMSE Cascaded",1084534,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1084536,,,"0607019-000 
OPTION,SWE-EP",1084539,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084540,"0614958-000 OPTION,MSWAVECAL",1084541,"0623771-000
OPTION,FOG,F1",1084542,,0
Viking F1,7273259,120729,YANGTZE MEMORY TECHNOLOGIES,KLA,20-Jul,28-Aug,,,,,Tester 0614033-000,1084535,"0673967-000
IRSE 2.2
",1084537,"0638704-000
KIT,INTEGRATION,LDSR",1084553,"0575683-000
OPTION,LDSR",,"0607019-000 
OPTION,SWE-EP",1084538,"0635153-000
KIT SSID",1084545,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084543,"0614958-000 OPTION,MSWAVECAL",1084544,"0651006-000
FOG",1084555,,0
Aleris 8350,7273182,,HUA HONG SEMICONDUCTOR (WUXI),KLA,20-Jul,24-Aug,,,,,Tester 0221128-000,1084559,"0603648-000
FEATURE,BBSE,193/DUV,ALERIS 8350,ROW",1084560,"0100231-001 
FEATURE,WLR,ALERIS",1084561,,,,,,,,,,,,,,0
SF 8660 HT,7273260,117091,UMC 12A P5,KLA,20-Jul,9/152022,,,,,Tester - 0754738-000,1084562,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1084563,"0100231-001 
FEATURE,WLR,ALERIS",1084564,,,,,,,,,"   0693129-000 
KIT,UPGRADE,PARTICLE EXTRACTION,ALERIS",1084565,,,,0
Viking SS11K,7273315,120550,TSMC FAB 18 P1,KLA,24-Jul,13-Sep,,,,,Tester 0745640-000,1084607,"0714778-000 
FEATURE,BBSE,SS11K-i",1084608,"0712159-000 
LDSR INTEGRATION",1084609,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1084611,,,,,,0
Viking SS11K_m,7273258,125426,SK HYNIX SEMICONDUCTOR (CHINA) C2F,KLA,24-Jul,31-Aug,,,,,"Tester SS11K_M 
0750868-000 ",1084616,"0750855-000 
FEATURE,2.5UM IRSE",1084617,,,0828181-000-Option DNS,1084618,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1084619,,,,,,0
Viking F1,7273291,120684,TSMC FAB 18 P1,KLA,24-Jul,31-Aug,,,,,Tester 0614033-000,1084625,"0629129-000 
XMSE Cascaded",1084626,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1084627,,,"0607019-000 
OPTION,SWE-EP",1084629,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084633,"0614958-000 OPTION,MSWAVECAL",1084634,"0623771-000
OPTION,FOG,F1",1084635,,0
Viking SS11K,7273277,124041,SMSC (S2B),KLA,24-Jul,31-Aug,,,,,Tester 0745640-000,1084659,"0714778-000 
FEATURE,BBSE,SS11K-i",1084663,"0712159-000 
LDSR INTEGRATION",1084664,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1084665,,,,,,0
Viking F1,7273285,120683,TSMC FAB 18 P1,KLA,25-Jul,28-Sep,,,,,Tester 0614033-000,1084670,"0629129-000 
XMSE Cascaded",1084672,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1084673,,,"0607019-000 
OPTION,SWE-EP",1084674,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084675,"0614958-000 OPTION,MSWAVECAL",1084676,"0623771-000
OPTION,FOG,F1",1084677,,0
SF 8660 HT,7273237,119054,GLOBALFOUNDRIES SINGAPORE (FAB 7),KLA,31-Jul,15-Sep,,,,,Tester - 0754738-000,1084880,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1084882,"0100231-001 
FEATURE,WLR,ALERIS",1084884,,,,,,,,,,,,,,0
SF 8660,7273240,119081,GLOBALFOUNDRIES SINGAPORE (FAB 7H),KLA-Vilar ,31-Jul,12-Sep,,,,,Tester - 0754738-000,1084876,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1084877,"0100231-001 
FEATURE,WLR,ALERIS",1084879,,,,,,,,,,,,,,0
Viking SS11K,7273305,124040,SMSC (S2B),KLA,31-Jul,15-Sep,,,,,Tester 0745640-000,1084895,"0714778-000 
FEATURE,BBSE,SS11K-i",1084896,"0712159-000 
LDSR INTEGRATION",1084897,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1084898,,,,,,0
Viking SS10K 3D ,7273314,124190,STMICROELECTRONICS (CROLLES 2) SAS,KLA,31-Jul,12-Sep,,,,,Tester 0575637-000,1084903,"0624483-000 
FEATURE, 2.2UM IRSE",1084904,"0638704-000 
KIT,INTEGRATION,LDSR",1084905,,,,,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084906,,,,,,0
Viking SS10K 3D ,7273313,124024,SMSC (S2B),KLA,31-Jul,28-Sep,,,,,Tester 0575637-000,1084899,"0629129-000 
XMSE Cascaded",1084907,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1084908,,,,,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1084909,,,,,,0
Viking SS11K,7273301,124036,SMSC (S2B),KLA,1-Aug,15-Sep,,,,,Tester 0745640-000,1085026,"0714778-000 
FEATURE,BBSE,SS11K-i",1085027,"0712159-000 
LDSR INTEGRATION",1085028,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1085029,,,,,,0
Viking SS11Ki,7273317,124094,INTEL CORPORATION FAB D1D,KLA,2-Aug,29-Sep,,,,,"Tester SS11K-I 
0715134-000",1085057,0714778-000 - BBSE SS11K,1085058,"0712159-000 
LDSR INTEGRATION",1085059,"0714339-000     
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
Compensator",1085060,,,0769140-000,0744867-000,,0
Viking F1,7273307,124023,SMSC (S2B),KLA,1-Aug,22-Sep,,,,,Tester 0614033-000,1085037,"0629129-000 
XMSE Cascaded",1085038,"0638704-000
KIT,INTEGRATION,LDSR",1085039,,,"0607019-000 
OPTION,SWE-EP",1085040,"0638710-000
SSiD",1085042,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1085043,"0614958-000 OPTION,MSWAVECAL",1085044,"0623771-000
OPTION,FOG,F1",1085064,,0
Viking SS11K,7273327,120620,SIEN (QINGDAO) INTEGRATED CIRCUITS,KLA,2-Aug,19-Sep,,,,,Tester 0745640-000,1085071,"0714778-000 
FEATURE,BBSE,SS11K-i",1085072,"0712159-000 
LDSR INTEGRATION",1085073,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1085074,,,,,,0
Aleris 8350,7273250,126328,HUA HONG SEMICONDUCTOR (WUXI),KLA,3-Aug,18-Sep,,,,,Tester 0221128-000,1085110,"0603648-000
FEATURE,BBSE,193/DUV,ALERIS 8350,ROW",1085111,"0100231-001 
FEATURE,WLR,ALERIS",1085112,,,,,,,,,,,,,,0
Aleris 8350,7273251,128665,SEMICONDUCTOR MANUFACTURING BEIJING,KLA,3-Aug,19-Sep,,,,,Tester 0221128-000,1085118,"0603648-000
FEATURE,BBSE,193/DUV,ALERIS 8350,ROW",1085119,"0100231-001 
FEATURE,WLR,ALERIS",1085120,,,,,,,,,,,,,,0
Aleris 8500,7273324,123045,SEMICONDUCTOR MANUFACTURING BEIJING,KLA,3-Aug,22-Sep,,,,,Tester 0221128-000,1085125,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1085127,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1085128,,,"0100420-000
OPTION 15X UVR ALERIS",1085129,"0372205-001 
KIT,SWE,ALERIS,ROW",1085131,"0613744-000
KIT MAKE IDESORBER SP ALERIS",1085132,,,,,,0
SS9010,7273216,119066,TEXAS INSTRUMENTS RFAB 2,KLA,4-Aug,11-Sep,,,,,"TESTER,SPECTRA SHAPE 9010
0376421-000",1085159,"0527023-000 
FEATURE,BBSE,ROW,SHELBY",1085160,"WLR for SF LD 10
0353539-000",1085161,,,0556674-000 Low NA Euvr,1085162,,,"OPTION,940NM LED,WLR/PR
0676544-000",1085163,,,,,,0
SS9010,7273270,119074,TEXAS INSTRUMENTS RFAB 2,KLA,7-Aug,11-Sep,,,,,"TESTER,SPECTRA SHAPE 9010
0376421-000",1085192,"0527023-000 
FEATURE,BBSE,ROW,SHELBY",1085197,"WLR for SF LD 10
0353539-000",1085198,,,0556674-000 Low NA Euvr,1085199,,,"OPTION,940NM LED,WLR/PR
0676544-000",1085201,,,,,,0
Viking F1,7273306,120686,TSMC FAB 18 P1,KLA,7-Aug,11-Sep,,,,,Tester 0614033-000,1085202,"0629129-000 
XMSE Cascaded",1085203,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1085204,,,"0607019-000 
OPTION,SWE-EP",1085205,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1085206,"0614958-000 OPTION,MSWAVECAL",1085207,"0623771-000
OPTION,FOG,F1",1085208,,0
Viking SS10K 3D,7273329,122814,CHANGXIN,KLA,7-Aug,22-Sep,,,,,Tester 0575637-000,1085226,"0629129-000 
XMSE Cascaded",1085227,"0638704-000 
KIT,INTEGRATION,LDSR",1085228,,,,,"0638710-000
KIT SSID SP",1085230,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1085231,"0607019-000
SWE EP + SSID",1085229,,,,0
Aleris 8500,7273320,123042,SEMICONDUCTOR MANUFACTURING BEIJING,KLA,10-Aug,22-Sep,,,,,Tester 0221128-000,1085301,"0100228-000
FEATURE,BBSE,150/VUV,ALERIS 8500",1085302,"0117525-000 
ASSY,FOCUS DETECTOR,PR,ALERIS",1085303,,,"0100420-000
OPTION 15X UVR ALERIS",1085304,"0372205-001 
KIT,SWE,ALERIS,ROW",1085305,"0613744-000
KIT MAKE IDESORBER SP ALERIS",1085307,,,,,,0
SF 8660,7273279,119080,GLOBALFOUNDRIES SINGAPORE (FAB 7H),KLA-Vilar ,10-Aug,12-Sep,,,,,Tester - 0754738-000,1085316,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1085317,"0100231-001 
FEATURE,WLR,ALERIS",1085318,,,,,,,,,,,,,,0
Aleris 8350,7273218,128792,HUA HONG SEMICONDUCTOR (WUXI),KLA,10-Aug,21-Sep,,,,,Tester 0221128-000,1085319,"0603648-000
FEATURE,BBSE,193/DUV,ALERIS 8350,ROW",1085329,"0100231-001 
FEATURE,WLR,ALERIS",1085320,,,,,,,,,,,,,,0
Aleris 8350,7273232,122262,SMIC F16,KLA,11-Aug,20-Sep,,,,,Tester 0221128-000,1085341,"0603648-000
FEATURE,BBSE,193/DUV,ALERIS 8350,ROW",1085342,"0100231-001 
FEATURE,WLR,ALERIS",1085343,,,,,,,,,,,,,,0
